latitude,longitude
2943.406500,-9520.516175
2943.402432,-9520.521514
2943.402432,-9520.521514
2943.401752,-9520.521780
2943.396800,-9520.524200
2943.388750,-9520.527150
2943.388750,-9520.527150
2943.320300,-9520.544700
2943.320607,-9520.543490
2943.320719,-9520.543047
2943.320727,-9520.543018
2943.320749,-9520.542929
2943.320914,-9520.542280
2943.320929,-9520.542221
2943.321011,-9520.541896
2943.321079,-9520.541630
2943.321124,-9520.541453
2943.321176,-9520.541247
2943.321199,-9520.541158
2943.321289,-9520.540804
2943.321333,-9520.540627
2943.321356,-9520.540538
2943.321371,-9520.540479
2943.321393,-9520.540391
2943.321468,-9520.540096
2943.321498,-9520.539978
2943.321558,-9520.539741
2943.321641,-9520.539417
2943.321873,-9520.538502
2943.321903,-9520.538384
2943.322000,-9520.538000
2943.315377,-9520.559372
2943.314847,-9520.560256
2943.314484,-9520.560860
2943.306800,-9520.533867
2943.307875,-9520.533625
2943.308033,-9520.533933
2943.307700,-9520.534600
2943.307700,-9520.534600
2943.306875,-9520.534150
2943.304784,-9520.531688
2943.304777,-9520.531598
2943.304765,-9520.531447
2943.304751,-9520.531265
2943.304747,-9520.531205
2943.304735,-9520.531053
2943.304730,-9520.530993
2943.304726,-9520.530933
2943.304719,-9520.530842
2943.304707,-9520.530691
2943.304575,-9520.529075
2943.304525,-9520.528425
2943.304525,-9520.528425
2943.304167,-9520.527633
2943.302700,-9520.523200
2943.301600,-9520.516900
2943.298900,-9520.507300
2943.298800,-9520.506800
2943.297450,-9520.502700
2943.297144,-9520.501795
2943.297102,-9520.501642
2943.297060,-9520.501488
2943.297019,-9520.501335
2943.297005,-9520.501284
2943.296991,-9520.501233
2943.296963,-9520.501130
2943.296963,-9520.501130
2943.296921,-9520.500977
2943.296837,-9520.500670
2943.296753,-9520.500363
2943.296712,-9520.500209
2943.296628,-9520.499902
