type,latitude,longitude
W,2943.4065,-9520.516175
W,2943.402432,-9520.521514
W,2943.402432,-9520.521514
W,2943.401752,-9520.52178
W,2943.3968,-9520.5242
W,2943.38875,-9520.52715
W,2943.38875,-9520.52715
W,2943.3203,-9520.5447
W,2943.320607,-9520.54349
W,2943.320719,-9520.543047
W,2943.320727,-9520.543018
W,2943.320749,-9520.542929
W,2943.320914,-9520.54228
W,2943.320929,-9520.542221
W,2943.321011,-9520.541896
W,2943.321079,-9520.54163
W,2943.321124,-9520.541453
W,2943.321176,-9520.541247
W,2943.321199,-9520.541158
W,2943.321289,-9520.540804
W,2943.321333,-9520.540627
W,2943.321356,-9520.540538
W,2943.321371,-9520.540479
W,2943.321393,-9520.540391
W,2943.321468,-9520.540096
W,2943.321498,-9520.539978
W,2943.321558,-9520.539741
W,2943.321641,-9520.539417
W,2943.321873,-9520.538502
W,2943.321903,-9520.538384
W,2943.322,-9520.538
W,2943.315377,-9520.559372
W,2943.314847,-9520.560256
W,2943.314484,-9520.56086
W,2943.3068,-9520.533867
W,2943.307875,-9520.533625
W,2943.308033,-9520.533933
W,2943.3077,-9520.5346
W,2943.3077,-9520.5346
W,2943.306875,-9520.53415
W,2943.304784,-9520.531688
W,2943.304777,-9520.531598
W,2943.304765,-9520.531447
W,2943.304751,-9520.531265
W,2943.304747,-9520.531205
W,2943.304735,-9520.531053
W,2943.30473,-9520.530993
W,2943.304726,-9520.530933
W,2943.304719,-9520.530842
W,2943.304707,-9520.530691
W,2943.304575,-9520.529075
W,2943.304525,-9520.528425
W,2943.304525,-9520.528425
W,2943.304167,-9520.527633
W,2943.3027,-9520.5232
W,2943.3016,-9520.5169
W,2943.2989,-9520.5073
W,2943.2988,-9520.5068
W,2943.29745,-9520.5027
W,2943.297144,-9520.501795
W,2943.297102,-9520.501642
W,2943.29706,-9520.501488
W,2943.297019,-9520.501335
W,2943.297005,-9520.501284
W,2943.296991,-9520.501233
W,2943.296963,-9520.50113
W,2943.296963,-9520.50113
W,2943.296921,-9520.500977
W,2943.296837,-9520.50067
W,2943.296753,-9520.500363
W,2943.296712,-9520.500209
W,2943.296628,-9520.499902
