latitude,longitude
2943.435609 N,9520.433445 W
2943.435614 N,9520.433418 W
2943.435614 N,9520.433418 W
2943.435618 N,9520.433391 W
2943.435618 N,9520.433391 W
2943.435618 N,9520.433391 W
2943.435623 N,9520.433364 W
2943.435623 N,9520.433364 W
2943.435627 N,9520.433336 W
2943.435627 N,9520.433336 W
2943.435632 N,9520.433309 W
2943.435636 N,9520.433282 W
2943.435645 N,9520.433227 W
2943.435645 N,9520.433227 W
2943.43565 N,9520.4332 W
2943.435668 N,9520.433091 W
2943.435677 N,9520.433036 W
2943.435682 N,9520.433009 W
2943.435682 N,9520.433009 W
2943.435691 N,9520.432955 W
2943.435723 N,9520.432764 W
2943.435736 N,9520.432682 W
2943.435741 N,9520.432655 W
2943.43575 N,9520.4326 W
2943.435755 N,9520.432573 W
2943.435755 N,9520.432573 W
2943.435759 N,9520.432545 W
2943.435782 N,9520.432409 W
2943.435786 N,9520.432382 W
2943.445855 N,9520.444332 W
2943.445891 N,9520.444386 W
2943.4507 N,9520.4435 W
2943.4507 N,9520.4435 W
