latitude,longitude
2943.404788,-9520.520300
2943.395275,-9520.524875
2943.395275,-9520.524875
2943.385613,-9520.528400
2943.379050,-9520.534075
2943.376950,-9520.537686
2943.376950,-9520.537686
2943.321768,-9520.538915
2943.314860,-9520.560233
2943.306625,-9520.532675
2943.306600,-9520.533183
2943.307000,-9520.533633
2943.307150,-9520.534300
2943.306233,-9520.533900
2943.304783,-9520.531673
2943.304751,-9520.531265
2943.304730,-9520.530993
2943.304706,-9520.530676
2943.304633,-9520.529800
2943.302700,-9520.523200
2943.302567,-9520.519400
2943.301683,-9520.517117
2943.301288,-9520.515338
2943.300600,-9520.512500
2943.297700,-9520.503400
2943.297144,-9520.501795
2943.296977,-9520.501181
2943.296747,-9520.500337
2943.291050,-9520.471875
2943.292500,-9520.468133
2943.298926,-9520.464995
2943.299428,-9520.464577
2943.304667,-9520.459833
2943.316117,-9520.457333
2943.328250,-9520.454450
2943.331050,-9520.451325
2943.331442,-9520.450858
2943.331819,-9520.450481
2943.332070,-9520.450230
2943.332767,-9520.449767
2943.348367,-9520.442567
2943.350833,-9520.441683
2943.355100,-9520.440100
2943.357833,-9520.442767
2943.359133,-9520.443433
2943.360294,-9520.444823
2943.360287,-9520.444850
2943.360281,-9520.444877
2943.360270,-9520.444918
2943.360253,-9520.444986
2943.360230,-9520.445082
2943.360223,-9520.445109
2943.360223,-9520.445109
2943.360213,-9520.445150
2943.360333,-9520.445933
2943.361067,-9520.446467
2943.366500,-9520.446900
2943.366565,-9520.446931
2943.366953,-9520.447115
2943.367277,-9520.447268
2943.367472,-9520.447360
2943.367666,-9520.447452
2943.367860,-9520.447544
2943.367925,-9520.447575
2943.367990,-9520.447606
2943.368119,-9520.447667
2943.368119,-9520.447667
2943.368314,-9520.447759
2943.370600,-9520.450575
2943.372900,-9520.452625
2943.374150,-9520.452600
2943.376788,-9520.451650
