date,time,latitude,longitude
30316,200001.09,2943.4335 N,9520.4551 W
30316,200004.00,2943.4333 N,9520.4565 W
30316,200006.00,2943.4336 N,9520.4558 W
30316,200008.00,2943.4337 N,9520.4551 W
30316,200010.00,2943.4338 N,9520.4535 W
30316,200012.00,2943.4345 N,9520.4526 W
30316,200014.00,2943.4348 N,9520.4523 W
30316,200016.00,2943.4346 N,9520.4519 W
30316,200018.00,2943.4343 N,9520.4515 W
30316,200020.00,2943.4343 N,9520.4493 W
30316,200022.00,2943.4342 N,9520.4474 W
30316,200024.00,2943.4340 N,9520.4467 W
30316,200026.00,2943.4339 N,9520.4461 W
30316,200028.00,2943.4337 N,9520.4454 W
30316,200030.00,2943.4334 N,9520.4449 W
30316,200032.00,2943.4338 N,9520.4430 W
30316,200034.00,2943.4341 N,9520.4412 W
30316,200036.00,2943.4342 N,9520.4403 W
30316,200038.00,2943.4342 N,9520.4395 W
30316,200040.00,2943.4342 N,9520.4387 W
30316,200042.00,2943.4343 N,9520.4380 W
30316,200044.00,2943.4343 N,9520.4372 W
30316,200046.00,2943.4342 N,9520.4367 W
30316,200048.00,2943.4341 N,9520.4367 W
30316,200050.00,2943.4342 N,9520.4367 W
30316,200052.00,2943.4344 N,9520.4359 W
30316,200054.00,2943.4347 N,9520.4349 W
30316,200056.00,2943.4352 N,9520.4341 W
30316,200058.00,2943.4356 N,9520.4335 W
30316,200100.00,2943.4357 N,9520.4327 W
30316,200102.00,2943.4358 N,9520.4323 W
30316,200104.00,2943.4357 N,9520.4322 W
30316,200106.00,2943.4357 N,9520.4319 W
30316,200108.00,2943.4360 N,9520.4317 W
30316,200110.00,2943.4358 N,9520.4313 W
30316,200112.00,2943.4358 N,9520.4319 W
30316,200114.00,2943.4350 N,9520.4325 W
30316,200116.00,2943.4345 N,9520.4331 W
30316,200118.00,2943.4341 N,9520.4337 W
30316,200120.00,2943.4335 N,9520.4347 W
30316,200122.00,2943.4333 N,9520.4353 W
30316,200124.00,2943.4329 N,9520.4358 W
30316,200126.00,2943.4331 N,9520.4352 W
30316,200128.00,2943.4332 N,9520.4347 W
30316,200130.00,2943.4336 N,9520.4338 W
30316,200132.00,2943.4342 N,9520.4330 W
30316,200134.00,2943.4351 N,9520.4320 W
30316,200136.00,2943.4361 N,9520.4319 W
30316,200138.00,2943.4371 N,9520.4323 W
30316,200140.00,2943.4377 N,9520.4327 W
30316,200142.00,2943.4383 N,9520.4329 W
30316,200144.00,2943.4391 N,9520.4333 W
30316,200146.00,2943.4398 N,9520.4341 W
30316,200148.00,2943.4399 N,9520.4349 W
30316,200150.00,2943.4404 N,9520.4350 W
30316,200152.00,2943.4408 N,9520.4353 W
30316,200154.00,2943.4408 N,9520.4354 W
30316,200156.00,2943.4406 N,9520.4355 W
30316,200158.00,2943.4405 N,9520.4353 W
30316,200200.00,2943.4406 N,9520.4354 W
30316,200202.00,2943.4406 N,9520.4354 W
30316,200204.00,2943.4407 N,9520.4354 W
30316,200206.00,2943.4407 N,9520.4355 W
30316,200208.00,2943.4407 N,9520.4355 W
30316,200210.00,2943.4408 N,9520.4357 W
30316,200212.00,2943.4409 N,9520.4357 W
30316,200214.00,2943.4409 N,9520.4355 W
30316,200216.00,2943.4408 N,9520.4351 W
30316,200218.00,2943.4408 N,9520.4354 W
30316,200220.00,2943.4411 N,9520.4358 W
30316,200222.00,2943.4404 N,9520.4361 W
30316,200224.00,2943.4403 N,9520.4360 W
30316,200226.00,2943.4403 N,9520.4360 W
30316,200228.00,2943.4402 N,9520.4360 W
30316,200230.00,2943.4402 N,9520.4357 W
30316,200232.00,2943.4405 N,9520.4359 W
30316,200234.00,2943.4407 N,9520.4358 W
30316,200236.00,2943.4409 N,9520.4362 W
30316,200238.00,2943.4416 N,9520.4375 W
30316,200240.00,2943.4418 N,9520.4387 W
30316,200242.00,2943.4419 N,9520.4398 W
30316,200244.00,2943.4427 N,9520.4410 W
30316,200246.00,2943.4434 N,9520.4419 W
30316,200248.00,2943.4442 N,9520.4428 W
30316,200250.00,2943.4448 N,9520.4432 W
30316,200252.00,2943.4452 N,9520.4436 W
30316,200254.00,2943.4450 N,9520.4436 W
30316,200256.00,2943.4452 N,9520.4436 W
30316,200258.00,2943.4455 N,9520.4438 W
30316,200300.00,2943.4454 N,9520.4442 W
30316,200302.00,2943.4459 N,9520.4444 W
30316,200304.00,2943.4469 N,9520.4444 W
30316,200306.00,2943.4471 N,9520.4445 W
30316,200308.00,2943.4481 N,9520.4445 W
30316,200310.00,2943.4492 N,9520.4443 W
30316,200312.00,2943.4502 N,9520.4438 W
30316,200314.00,2943.4507 N,9520.4435 W
30316,200316.00,2943.4513 N,9520.4443 W
30316,200318.00,2943.4519 N,9520.4442 W
30316,200320.00,2943.4526 N,9520.4437 W
30316,200322.00,2943.4533 N,9520.4440 W
30316,200324.00,2943.4541 N,9520.4438 W
30316,200326.00,2943.4551 N,9520.4439 W
30316,200328.00,2943.4558 N,9520.4445 W
30316,200330.00,2943.4561 N,9520.4440 W
30316,200332.00,2943.4563 N,9520.4439 W
30316,200334.00,2943.4566 N,9520.4441 W
30316,200336.00,2943.4571 N,9520.4443 W
30316,200338.00,2943.4577 N,9520.4445 W
30316,200340.00,2943.4587 N,9520.4445 W
30316,200342.00,2943.4599 N,9520.4454 W
30316,200344.00,2943.4600 N,9520.4468 W
30316,200346.00,2943.4594 N,9520.4483 W
30316,200348.00,2943.4588 N,9520.4498 W
30316,200350.00,2943.4578 N,9520.4509 W
30316,200352.00,2943.4568 N,9520.4516 W
30316,200354.00,2943.4557 N,9520.4519 W
30316,200356.00,2943.4558 N,9520.4520 W
30316,200358.00,2943.4556 N,9520.4531 W
30316,200400.00,2943.4559 N,9520.4536 W
30316,200402.00,2943.4560 N,9520.4546 W
30316,200404.00,2943.4548 N,9520.4548 W
30316,200406.00,2943.4544 N,9520.4552 W
30316,200408.00,2943.4536 N,9520.4550 W
30316,200410.00,2943.4534 N,9520.4544 W
30316,200412.00,2943.4531 N,9520.4541 W
30316,200414.00,2943.4527 N,9520.4540 W
30316,200416.00,2943.4521 N,9520.4538 W
30316,200418.00,2943.4518 N,9520.4546 W
30316,200420.00,2943.4517 N,9520.4547 W
30316,200422.00,2943.4518 N,9520.4546 W
30316,200424.00,2943.4520 N,9520.4546 W
30316,200426.00,2943.4512 N,9520.4544 W
30316,200428.00,2943.4501 N,9520.4547 W
30316,200430.00,2943.4490 N,9520.4551 W
30316,200432.00,2943.4487 N,9520.4552 W
30316,200434.00,2943.4488 N,9520.4559 W
30316,200436.00,2943.4483 N,9520.4560 W
30316,200438.00,2943.4482 N,9520.4557 W
30316,200440.00,2943.4481 N,9520.4554 W
30316,200442.00,2943.4481 N,9520.4555 W
30316,200444.00,2943.4478 N,9520.4557 W
30316,200446.00,2943.4473 N,9520.4556 W
30316,200448.00,2943.4470 N,9520.4555 W
30316,200450.00,2943.4465 N,9520.4555 W
30316,200452.00,2943.4465 N,9520.4558 W
30316,200454.00,2943.4464 N,9520.4560 W
30316,200456.00,2943.4457 N,9520.4561 W
30316,200458.00,2943.4457 N,9520.4555 W
30316,200500.00,2943.4454 N,9520.4552 W
30316,200502.00,2943.4451 N,9520.4550 W
30316,200504.00,2943.4454 N,9520.4543 W
30316,200506.00,2943.4448 N,9520.4542 W
30316,200508.00,2943.4445 N,9520.4540 W
30316,200510.00,2943.4446 N,9520.4539 W
30316,200512.00,2943.4448 N,9520.4540 W
30316,200514.00,2943.4450 N,9520.4542 W
30316,200516.00,2943.4445 N,9520.4541 W
30316,200518.00,2943.4436 N,9520.4539 W
30316,200520.00,2943.4427 N,9520.4539 W
30316,200522.00,2943.4434 N,9520.4538 W
30316,200524.00,2943.4431 N,9520.4542 W
30316,200526.00,2943.4426 N,9520.4540 W
30316,200528.00,2943.4426 N,9520.4539 W
30316,200530.00,2943.4428 N,9520.4539 W
30316,200532.00,2943.4431 N,9520.4537 W
30316,200534.00,2943.4438 N,9520.4537 W
30316,200536.00,2943.4444 N,9520.4537 W
30316,200538.00,2943.4451 N,9520.4537 W
30316,200540.00,2943.4451 N,9520.4536 W
30316,200542.00,2943.4448 N,9520.4532 W
30316,200544.00,2943.4449 N,9520.4534 W
30316,200546.00,2943.4450 N,9520.4533 W
30316,200548.00,2943.4451 N,9520.4533 W
30316,200550.00,2943.4449 N,9520.4532 W
30316,200552.00,2943.4449 N,9520.4532 W
30316,200554.00,2943.4450 N,9520.4529 W
30316,200556.00,2943.4449 N,9520.4525 W
30316,200558.00,2943.4447 N,9520.4528 W
30316,200600.00,2943.4444 N,9520.4528 W
30316,200602.00,2943.4447 N,9520.4527 W
30316,200604.00,2943.4448 N,9520.4524 W
30316,200606.00,2943.4448 N,9520.4521 W
30316,200608.00,2943.4448 N,9520.4524 W
30316,200610.00,2943.4450 N,9520.4525 W
30316,200612.00,2943.4443 N,9520.4526 W
30316,200614.00,2943.4436 N,9520.4522 W
30316,200616.00,2943.4424 N,9520.4521 W
30316,200618.00,2943.4415 N,9520.4525 W
30316,200620.00,2943.4420 N,9520.4532 W
30316,200622.00,2943.4421 N,9520.4539 W
30316,200624.00,2943.4418 N,9520.4546 W
30316,200626.00,2943.4407 N,9520.4550 W
30316,200628.00,2943.4399 N,9520.4553 W
30316,200630.00,2943.4388 N,9520.4548 W
30316,200632.00,2943.4389 N,9520.4546 W
30316,200634.00,2943.4388 N,9520.4548 W
30316,200636.00,2943.4389 N,9520.4548 W
30316,200638.00,2943.4390 N,9520.4548 W
30316,200640.00,2943.4388 N,9520.4549 W
30316,200642.00,2943.4386 N,9520.4551 W
30316,200644.00,2943.4382 N,9520.4554 W
30316,200646.00,2943.4379 N,9520.4552 W
30316,200648.00,2943.4379 N,9520.4552 W
30316,200650.00,2943.4379 N,9520.4553 W
30316,200652.00,2943.4378 N,9520.4555 W
30316,200654.00,2943.4380 N,9520.4550 W
30316,200656.00,2943.4373 N,9520.4556 W
30316,200658.00,2943.4365 N,9520.4566 W
30316,200700.00,2943.4357 N,9520.4568 W
30316,200702.00,2943.4350 N,9520.4569 W
30316,200704.00,2943.4343 N,9520.4567 W
30316,200706.00,2943.4343 N,9520.4568 W
30316,200708.00,2943.4342 N,9520.4570 W
30316,200710.00,2943.4343 N,9520.4571 W
30316,200712.00,2943.4341 N,9520.4575 W
30316,200714.00,2943.4338 N,9520.4580 W
30316,200716.00,2943.4336 N,9520.4588 W
30316,200718.00,2943.4332 N,9520.4597 W
30316,200720.00,2943.4327 N,9520.4603 W
30316,200722.00,2943.4325 N,9520.4606 W
30316,200724.00,2943.4324 N,9520.4614 W
30316,200726.00,2943.4324 N,9520.4624 W
30316,200728.00,2943.4323 N,9520.4634 W
30316,200730.00,2943.4322 N,9520.4639 W
30316,200732.00,2943.4321 N,9520.4642 W
30316,200734.00,2943.4322 N,9520.4638 W
30316,200736.00,2943.4323 N,9520.4635 W
30316,200738.00,2943.4323 N,9520.4633 W
30316,200740.00,2943.4322 N,9520.4630 W
30316,200742.00,2943.4322 N,9520.4631 W
30316,200744.00,2943.4320 N,9520.4636 W
30316,200746.00,2943.4322 N,9520.4645 W
30316,200748.00,2943.4324 N,9520.4657 W
30316,200750.00,2943.4323 N,9520.4671 W
30316,200752.00,2943.4320 N,9520.4682 W
30316,200754.00,2943.4316 N,9520.4696 W
30316,200756.00,2943.4319 N,9520.4710 W
30316,200758.00,2943.4313 N,9520.4716 W
30316,200800.00,2943.4314 N,9520.4726 W
30316,200802.00,2943.4318 N,9520.4732 W
30316,200804.00,2943.4323 N,9520.4741 W
30316,200806.00,2943.4326 N,9520.4749 W
30316,200808.00,2943.4330 N,9520.4758 W
30316,200810.00,2943.4340 N,9520.4769 W
30316,200812.00,2943.4345 N,9520.4781 W
30316,200814.00,2943.4354 N,9520.4789 W
30316,200816.00,2943.4355 N,9520.4798 W
30316,200818.00,2943.4357 N,9520.4809 W
30316,200820.00,2943.4359 N,9520.4816 W
30316,200822.00,2943.4371 N,9520.4826 W
30316,200824.00,2943.4380 N,9520.4830 W
30316,200826.00,2943.4388 N,9520.4844 W
30316,200828.00,2943.4398 N,9520.4862 W
30316,200830.00,2943.4415 N,9520.4868 W
30316,200832.00,2943.4428 N,9520.4885 W
30316,200834.00,2943.4431 N,9520.4902 W
30316,200836.00,2943.4428 N,9520.4918 W
30316,200838.00,2943.4429 N,9520.4935 W
30316,200840.00,2943.4424 N,9520.4953 W
30316,200842.00,2943.4415 N,9520.4964 W
30316,200844.00,2943.4401 N,9520.4973 W
30316,200846.00,2943.4384 N,9520.4974 W
30316,200848.00,2943.4372 N,9520.4977 W
30316,200850.00,2943.4362 N,9520.4986 W
30316,200852.00,2943.4352 N,9520.4982 W
30316,200854.00,2943.4346 N,9520.4986 W
30316,200856.00,2943.4346 N,9520.4990 W
30316,200858.00,2943.4346 N,9520.4993 W
30316,200900.00,2943.4344 N,9520.4994 W
30316,200902.00,2943.4339 N,9520.4998 W
30316,200904.00,2943.4334 N,9520.4999 W
30316,200906.00,2943.4330 N,9520.4995 W
30316,200908.00,2943.4324 N,9520.5004 W
30316,200910.00,2943.4314 N,9520.5007 W
30316,200912.00,2943.4304 N,9520.5013 W
30316,200914.00,2943.4296 N,9520.5016 W
30316,200916.00,2943.4283 N,9520.5027 W
30316,200918.00,2943.4269 N,9520.5033 W
